unique_id,timestamp,tag,data_shape,eval_test,runtime,model_version,test
130ad3da-6057-4c68-b874-eafa4f4ef994,1599633691.3324814,all,|('2017-11-30', '2019-05-29')|,{'rmse': 40933},000:00:11,0.1,False
077ebe82-e50d-44ca-8666-9fd0ab8c1190,1599633703.4703193,united_kingdom,|('2017-12-04', '2019-05-27')|,{'rmse': 26025},000:00:12,0.1,False
07e3410d-d343-4828-be08-063f3ec16e85,1599633883.4019287,all,|('2017-11-29', '2019-06-30')|,{'rmse': 26248},000:00:23,0.1,False
cd398316-ed1a-4e0e-b802-d79396468153,1599633907.4180634,united_kingdom,|('2017-11-29', '2019-06-30')|,{'rmse': 26027},000:00:24,0.1,False
ad1523d2-5752-4f93-837d-980246212855,1599633929.1847312,eire,|('2017-11-29', '2019-06-30')|,{'rmse': 1184},000:00:21,0.1,False
10df7066-64c9-4a61-ac88-67347366d798,1599633953.1780477,germany,|('2017-11-29', '2019-06-30')|,{'rmse': 480},000:00:23,0.1,False
7b163e8d-65a1-4e56-9cc1-b9e82e2dfd28,1599633974.730001,france,|('2017-11-29', '2019-06-30')|,{'rmse': 646},000:00:21,0.1,False
fa89127f-e7ad-4d6a-a702-376e7fdee5ac,1599633987.6795359,norway,|('2017-12-05', '2019-06-30')|,{'rmse': 286},000:00:12,0.1,False
2c9e4da1-d9d2-406c-a12e-7a5a7ab12d89,1599634009.0478532,spain,|('2017-12-01', '2019-06-30')|,{'rmse': 325},000:00:21,0.1,False
7d718ecb-45f0-4629-8eaf-0bed16c5a141,1599634019.2460501,hong_kong,|('2018-04-19', '2019-05-31')|,{'rmse': 1038},000:00:10,0.1,False
662abd93-5bd0-41bc-8aa0-f6921d8cfa9e,1599634038.42402,portugal,|('2017-11-29', '2019-06-30')|,{'rmse': 455},000:00:19,0.1,False
d5f64665-0eb7-4206-8d57-33e4fb855118,1599634047.1476266,singapore,|('2018-04-25', '2019-06-11')|,{'rmse': 1716},000:00:08,0.1,False
effbd357-83d0-4513-91bd-d70c63fa3652,1599634067.3517451,netherlands,|('2017-11-30', '2019-06-30')|,{'rmse': 137},000:00:20,0.1,False
2bb023d0-2621-423b-b91e-4db419f37091,1599634761.6264212,...successfully connected to db
503e77a1-1085-4989-89cb-cc030d7fd644,1599634850.8036056,all,|('2017-11-29', '2019-06-30')|,{'rmse': 27855},000:00:23,0.1,False
